City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Boca Do Acre,BR,78.26,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
389,Benjamin Constant,BR,80.65,broken clouds,-4.3831,-70.0311,CASA AVALIADA
390,Sarangani,PH,81.72,scattered clouds,5.4033,125.4636,Ballistic Islet
404,Eyl,SO,76.46,clear sky,7.9803,49.8164,Amiin Hotel
406,Port Keats,AU,79.18,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
413,Road Town,VG,75.24,light intensity shower rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
414,Atambua,ID,75.18,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
419,Miandrivazo,MG,76.66,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
424,Djibo,BF,87.1,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
425,Barra Patuca,HN,78.51,clear sky,15.8,-84.2833,
428,Panaba,MX,76.3,scattered clouds,21.2833,-88.2667,Hotel California
441,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
445,San Felipe,VE,82.45,few clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
450,Cockburn Town,TC,76.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
453,Tessalit,ML,78.4,clear sky,20.1986,1.0114,
459,Tete,MZ,84.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
460,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
464,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
466,Wad Madani,SD,77.4,clear sky,14.4012,33.5199,فندق يوغسلافيا
467,Tombouctou,ML,80.29,clear sky,20.0,-3.0,
471,Coari,BR,85.28,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
474,Port Moresby,PG,76.51,moderate rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
476,Tevaitoa,PF,80.04,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
477,Barbosa Ferraz,BR,80.31,overcast clouds,-24.03,-52.0117,Edicula Sanches
480,Jacareacanga,BR,83.73,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
481,Adrar,MR,83.21,broken clouds,20.5022,-10.0711,
482,Puro,PH,77.11,broken clouds,12.4841,123.3827,
494,Eluru,IN,77.09,broken clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
497,Caimito,CO,83.64,few clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
501,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
505,Honiara,SB,79.38,overcast clouds,-9.4333,159.95,Heritage Park Hotel
508,Chirongui,YT,85.93,broken clouds,-12.9319,45.1483,La Villa Mahatsara
510,Lagunas,PE,88.77,broken clouds,-5.2269,-75.6753,Hospedaje Eco
512,Hobyo,SO,77.85,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
518,Arlit,NE,79.9,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
525,Sagua La Grande,CU,77.99,clear sky,22.8067,-80.0756,Hotel Telégrafo
530,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
537,Pedernales,DO,78.89,few clouds,18.0384,-71.744,Hotel Costa Marina
540,Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Hotel Xaguate
541,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
546,Maputo,MZ,81.43,scattered clouds,-25.9653,32.5892,Pestana Rovuma
548,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
551,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
