City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Bengkulu,ID,2022-02-05 13:32:16,-3.8004,102.2655,74.52,96,100,4.07
184,Cap Malheureux,MU,2022-02-05 13:32:16,-19.9842,57.6142,82.89,78,100,8.01
185,Boda,CF,2022-02-05 13:32:16,4.3189,17.4695,96.04,9,71,7.87
186,Sisimiut,GL,2022-02-05 13:32:16,66.9395,-53.6735,0.39,88,95,15.1
187,Ribeira Grande,PT,2022-02-05 13:32:17,38.5167,-28.7,63.0,72,40,11.5
188,Sampit,ID,2022-02-05 13:32:17,-2.5333,112.95,75.24,97,100,2.13
189,Zhigansk,RU,2022-02-05 13:32:17,66.7697,123.3711,-33.75,100,100,4.52
190,Portel,BR,2022-02-05 13:32:18,-1.9356,-50.8211,80.02,78,100,3.33
191,Axim,GH,2022-02-05 13:32:18,4.8699,-2.2405,85.28,65,32,11.32
192,San Rafael,AR,2022-02-05 13:31:29,-34.6177,-68.3301,57.79,94,75,4.61
193,Vitry-Le-Francois,FR,2022-02-05 13:32:19,48.7333,4.5833,48.33,81,87,12.39
194,Along,IN,2022-02-05 13:32:19,28.1667,94.7667,48.6,98,100,2.51
195,Santa Cruz,BO,2022-02-05 13:30:04,-17.8,-63.1667,80.06,83,75,17.27
196,Marawi,PH,2022-02-05 13:32:19,7.9986,124.2928,71.65,96,51,0.96
197,Anadyr,RU,2022-02-05 13:32:19,64.75,177.4833,-1.7,78,0,4.47
198,Igarka,RU,2022-02-05 13:32:20,67.4667,86.5833,-7.51,99,91,5.53
199,Prince Albert,CA,2022-02-05 13:30:05,53.2001,-105.7677,-5.85,77,100,5.75
200,Haldia,IN,2022-02-05 13:32:20,22.0605,88.1097,66.88,36,0,5.1
201,Puerto Del Rosario,ES,2022-02-05 13:32:20,28.5004,-13.8627,69.55,60,0,8.05
202,Norsup,VU,2022-02-05 13:32:21,-16.0667,167.3833,80.6,83,100,12.64
203,Vinh,VN,2022-02-05 13:32:21,18.6667,105.6667,60.98,80,100,2.73
204,Labuhan,ID,2022-02-05 13:32:22,-6.8844,112.2051,79.52,87,100,9.75
205,Cabinda,AO,2022-02-05 13:32:25,-5.55,12.2,82.92,69,56,12.08
206,Vao,NC,2022-02-05 13:32:25,-22.6667,167.4833,80.06,88,98,12.06
207,Mount Gambier,AU,2022-02-05 13:32:26,-37.8333,140.7667,62.51,72,97,10.36
208,Porlamar,VE,2022-02-05 13:32:26,10.958,-63.8491,79.2,73,7,9.98
209,Khalkhal,IR,2022-02-05 13:32:27,37.6189,48.5258,26.94,96,100,5.06
210,Turbat,PK,2022-02-05 13:32:27,26.0023,63.044,75.13,32,0,9.6
211,Hokitika,NZ,2022-02-05 13:32:27,-42.7167,170.9667,56.61,79,100,5.37
212,Dawlatabad,AF,2022-02-05 13:32:27,36.4141,64.9053,50.52,72,100,2.08
213,Namibe,AO,2022-02-05 13:32:28,-15.1961,12.1522,80.06,52,49,12.93
214,Georgetown,MY,2022-02-05 13:32:28,5.4112,100.3354,79.9,91,40,1.99
215,Tiksi,RU,2022-02-05 13:32:28,71.6872,128.8694,-19.59,97,100,7.67
216,Sao Filipe,CV,2022-02-05 13:32:28,14.8961,-24.4956,75.76,63,0,5.73
217,Faanui,PF,2022-02-05 13:32:29,-16.4833,-151.75,80.69,72,8,15.73
218,Kyra,RU,2022-02-05 13:32:29,49.5776,111.9753,0.23,92,26,5.61
219,Avarua,CK,2022-02-05 13:31:34,-21.2078,-159.775,78.85,83,20,11.5
