City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
222,Pacific Grove,36.6177,-121.9166,53.58,53,0,1.01,US,2/5/2022 15:11,clear sky
223,Taoudenni,22.6783,-3.9836,82.09,7,19,10.42,ML,2/5/2022 15:11,few clouds
224,Rawson,-43.3002,-65.1023,61.34,48,0,12.86,AR,2/5/2022 15:11,clear sky
225,Rodrigues Alves,-7.738,-72.6509,85.96,58,33,3.65,BR,2/5/2022 15:11,scattered clouds
226,Santa Marta,11.2408,-74.199,82.27,62,6,13.06,CO,2/5/2022 15:11,clear sky
227,Carnarvon,-24.8667,113.6333,81.63,71,23,13.13,AU,2/5/2022 15:11,few clouds
228,Buala,-8.145,159.5921,81,83,90,7.87,SB,2/5/2022 15:04,overcast clouds
229,Tiznit,29.5833,-9.5,74.16,18,96,6.76,MA,2/5/2022 15:11,overcast clouds
230,Saint-Louis,16.3333,-15,96.66,5,0,10.85,SN,2/5/2022 15:11,clear sky
231,Bilibino,68.0546,166.4372,-12.93,96,10,4.9,RU,2/5/2022 15:03,clear sky
232,Castro,-24.7911,-50.0119,75.06,82,83,8.55,BR,2/5/2022 15:11,broken clouds
233,Luwingu,-10.2621,29.9271,67.05,92,100,2.19,ZM,2/5/2022 15:11,light rain
234,Ottawa,45.4112,-75.6981,3.97,67,37,5.01,CA,2/5/2022 15:07,scattered clouds
235,Puerto Escondido,15.85,-97.0667,77.58,44,0,4.25,MX,2/5/2022 15:11,clear sky
236,Pitimbu,-7.4706,-34.8086,86.59,59,19,11.1,BR,2/5/2022 15:11,few clouds
237,Goderich,43.7501,-81.7165,15.91,89,100,7.67,CA,2/5/2022 15:08,light snow
238,Broome,42.2506,-75.833,16.63,80,100,3,US,2/5/2022 15:02,overcast clouds
239,Fairbanks,64.8378,-147.7164,0.1,78,0,0,US,2/5/2022 15:08,light snow
240,Komsomolskiy,40.4272,71.7189,40.42,32,31,2.3,UZ,2/5/2022 15:02,scattered clouds
241,Baghmara,23.795,86.2085,60.73,45,0,7.2,IN,2/5/2022 15:06,clear sky
242,Aklavik,68.2191,-135.0107,-39.28,95,9,5.37,CA,2/5/2022 15:12,clear sky
243,Waingapu,-9.6567,120.2641,79.59,85,100,6.89,ID,2/5/2022 15:12,overcast clouds
244,Eyrarbakki,63.863,-21.1481,26.2,73,100,5.28,IS,2/5/2022 15:06,overcast clouds
245,Yambio,4.5721,28.3955,88.95,15,100,4.92,SS,2/5/2022 15:09,overcast clouds
246,Ceyhan,37.0247,35.8175,55.74,69,1,4.43,TR,2/5/2022 15:12,clear sky
247,Pevek,69.7008,170.3133,-28.19,99,20,2.82,RU,2/5/2022 15:12,few clouds
248,Port Macquarie,-31.4333,152.9167,62.89,67,100,15.32,AU,2/5/2022 15:12,overcast clouds
249,Luderitz,-26.6481,15.1594,72.86,63,7,5.88,NA,2/5/2022 15:12,clear sky
250,Aswan,24.0934,32.907,64.4,28,0,17.09,EG,2/5/2022 15:12,clear sky
251,Markova,48.6758,24.4138,35.19,82,100,9.28,UA,2/5/2022 15:12,overcast clouds
252,San Pedro,14.35,121.0167,78.35,71,100,14.03,PH,2/5/2022 15:11,overcast clouds
253,Minas Novas,-17.2186,-42.5903,77.94,75,100,4.56,BR,2/5/2022 15:07,overcast clouds
254,Taree,-31.9,152.4667,63.1,87,98,6.08,AU,2/5/2022 15:12,overcast clouds
255,Cobadin,44.0833,28.2167,46.06,56,74,7.83,RO,2/5/2022 15:12,broken clouds
256,Escanaba,45.7453,-87.0646,9.05,78,0,0,US,2/5/2022 15:08,clear sky
257,Poum,-20.2333,164.0167,80.4,72,78,4.68,NC,2/5/2022 15:02,broken clouds
258,Minsk,53.9,27.5667,33.55,88,100,19.33,BY,2/5/2022 15:12,light snow
259,Mount Gambier,-37.8333,140.7667,61.75,67,94,8.03,AU,2/5/2022 15:12,overcast clouds
260,Hidalgotitlan,17.7833,-94.6333,58.95,85,100,14.41,MX,2/5/2022 15:12,overcast clouds
261,Talnakh,69.4865,88.3972,-12.75,100,94,2.37,RU,2/5/2022 15:07,overcast clouds
262,Pisco,-13.7,-76.2167,71.02,83,64,9.22,PE,2/5/2022 15:12,mist
263,Mucurici,-18.0933,-40.5158,82,68,92,11.12,BR,2/5/2022 15:12,overcast clouds
264,Rusape,-18.5278,32.1284,68.41,84,95,10.31,ZW,2/5/2022 15:12,light rain
265,Bud,39.447,-86.1758,13.68,78,35,3.42,US,2/5/2022 15:07,scattered clouds
266,Pasighat,28.0667,95.3333,53.62,91,79,4.05,IN,2/5/2022 15:12,broken clouds
267,Spring Hill,28.4769,-82.5255,64.27,87,100,1.99,US,2/5/2022 15:08,overcast clouds
268,Asau,46.4333,26.4,43.95,67,59,6.53,RO,2/5/2022 15:12,broken clouds
269,Agua Verde,22.9,-106.05,61.03,59,48,2.93,MX,2/5/2022 15:12,scattered clouds
270,Clyde River,70.4692,-68.5914,-29.47,92,90,4.92,CA,2/5/2022 15:12,overcast clouds
271,Petionville,18.5125,-72.2853,78.49,44,20,5.75,HT,2/5/2022 15:12,few clouds
